日期,MAE(元/kWh),RMSE(元/kWh),MAPE,前日偏差权重,实际均价(元/kWh),预测均价(元/kWh)
2025-09-08,0.07031949,0.09028028,9.64861766%,0.00000000,0.77352361,0.78374855
2025-09-09,0.04322839,0.05251885,6.81699963%,0.45073402,0.75188333,0.75696832
2025-09-10,0.07115231,0.08924901,9.27007962%,0.00000000,0.78182361,0.76591859
2025-09-11,0.04018969,0.05366744,6.93386553%,0.49318251,0.75306389,0.76702891
2025-09-12,0.11245280,0.12675803,25.03956736%,0.49090025,0.57508542,0.68679769
2025-09-13,0.05801063,0.07645591,21.47849197%,0.49535479,0.56651597,0.61874740
2025-09-14,0.06276347,0.07940854,8.34751825%,0.00000000,0.77590625,0.76223620
2025-09-15,0.03891327,0.04919675,6.27306223%,0.53278271,0.76172639,0.76453232
2025-09-16,0.06187456,0.07673596,8.75635370%,0.00000000,0.77794653,0.72956342
2025-09-17,0.03834114,0.04923380,5.80485318%,0.51834106,0.77805486,0.77921658
2025-09-18,0.03796290,0.05109801,5.52836945%,0.52059807,0.76982569,0.74878429
2025-09-19,0.09110291,0.10452149,17.53758731%,0.52504687,0.59325208,0.68244767
2025-09-20,0.09688805,0.11156338,22.63444948%,0.00000000,0.58746111,0.68340675
2025-09-21,0.07933449,0.09284589,11.08389825%,0.51544229,0.77384931,0.69710549
2025-09-22,0.05999650,0.07331972,8.06187270%,0.00000000,0.78216597,0.73002569
2025-09-23,0.04286493,0.05403856,5.87100666%,0.56562191,0.78175208,0.76510462
2025-09-24,0.03651936,0.04538359,5.48564307%,0.57291595,0.77610972,0.77010481
2025-09-25,0.03618891,0.04527466,5.36415301%,0.56924789,0.77760764,0.75958997
2025-09-26,0.08122364,0.09464434,16.82054265%,0.00000000,0.59281389,0.67183578
2025-09-27,0.04403101,0.06009627,8.82682183%,0.56711985,0.59968403,0.61943040
2025-09-28,0.06313097,0.07768714,8.50837309%,0.00000000,0.78938819,0.73292579
2025-09-29,0.03069608,0.03936724,4.40144879%,0.57027454,0.78775833,0.78318818
2025-09-30,0.04161110,0.05224061,6.00776310%,0.57144946,0.79382431,0.77551932
2025-10-01,0.05926936,0.07774616,10.42093114%,0.57668860,0.73815556,0.78112863
2025-10-02,0.03934364,0.05012596,6.29850598%,0.00000000,0.74197222,0.74891334
2025-10-03,0.12448905,0.14117383,33.24904210%,0.57610315,0.55796458,0.68081064
2025-10-04,0.11909219,0.13761340,25.73960689%,0.00000000,0.58583056,0.70473201
2025-10-05,0.07089662,0.08383132,9.93548545%,0.57438223,0.75256111,0.68427165
2025-10-06,0.03722326,0.04703383,5.70108942%,0.52106096,0.76848958,0.75422916
2025-10-07,0.03536649,0.04542280,5.37546374%,0.51936538,0.76575347,0.76594672
2025-10-08,0.03903989,0.05021302,5.91197437%,0.00000000,0.76068542,0.75013738
2025-10-09,0.03609394,0.04587648,5.66676281%,0.51585346,0.75780347,0.74799670
2025-10-10,0.14357886,0.16545763,45.10988750%,0.00000000,0.55953194,0.70193765
2025-10-11,0.03707897,0.04482275,8.36473606%,0.51701702,0.58455139,0.59439665
2025-10-12,0.08482033,0.10139207,11.53494768%,0.52245320,0.76634375,0.68560788
2025-10-13,0.03205826,0.03908680,5.03517557%,0.48087075,0.76465139,0.76207371
2025-10-14,0.05044762,0.06343792,7.27756548%,0.00000000,0.77306667,0.74041822
2025-10-15,0.03992135,0.04996244,5.73388661%,0.53572252,0.77605556,0.75281953
2025-10-16,0.07046799,0.09123647,9.33984841%,0.00000000,0.78222083,0.72059121
2025-10-17,0.10824704,0.12767925,22.17680577%,0.53072638,0.58880625,0.69630920
2025-10-18,0.04978848,0.05953832,10.86548437%,0.48399972,0.58306806,0.62453431
2025-10-19,0.09964186,0.11710151,12.58324700%,0.50050186,0.78936042,0.69253744
2025-10-20,0.07094000,0.08800065,9.22796970%,0.00000000,0.78712708,0.72692100
2025-10-21,0.04465750,0.05884193,6.23767832%,0.47536413,0.79530625,0.76060468
2025-10-22,0.08460699,0.10387859,10.80144830%,0.00000000,0.79295069,0.71379198
2025-10-23,0.03810621,0.04772778,5.71398175%,0.53429599,0.78133611,0.76895729
2025-10-24,0.09324390,0.10624013,19.68891347%,0.54296919,0.59635833,0.68928164
2025-10-25,0.03360026,0.04290530,7.99128176%,0.50970649,0.59850903,0.61505966
2025-10-26,0.07467675,0.09075279,9.90626238%,0.00000000,0.78733056,0.71962252
2025-10-27,0.04090888,0.05138411,6.08444522%,0.46995136,0.78289583,0.76806541
2025-10-28,0.07367777,0.09258690,9.41127447%,0.00000000,0.79306667,0.72442620
2025-10-29,0.05384927,0.06922233,7.03005972%,0.35692890,0.80695694,0.76331801
2025-10-30,0.03733508,0.04697671,5.34075869%,0.38937400,0.79196042,0.77128441
2025-10-31,0.06477439,0.07752610,12.47377251%,0.40204057,0.61773264,0.68113290
2025-11-01,0.07678552,0.08901323,15.60900130%,0.00000000,0.60460347,0.67831713
2025-11-02,0.08913392,0.10528317,11.36695802%,0.39979073,0.80224444,0.71427182
2025-11-03,0.07059176,0.08791361,9.30055337%,0.00000000,0.80547083,0.74433736
2025-11-04,0.03886595,0.05043379,5.53742595%,0.39152196,0.79758264,0.77850715
